web-scraper-order,web-scraper-start-url,product_link,product_link-href,name,price,description,brand,image_url-src
"1769347839-305","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=21","Pc Portable Gamer Asus V16 V3607VJ Intel Core 5 210H 16Go 512Go SSD RTX 3050 Windows 11 Pro","https://spacenet.tn/pc-portable-gamer-tunisie/96302-pc-portable-gamer-asus-v16-v3607vj-intel-core-5-210h-16go-512go-ssd-rtx-3050-windows-11-pro.html","Pc Portable Gamer Asus V16 V3607VJ Intel Core 5 210H 16Go 512Go SSD RTX 3050 Windows 11 Pro","2 739,000 DT","Pc Portable Gamer Asus V16 V3607VJ - Écran : 16.0"" WUXGA (1920 x 1200), LED, 144Hz - Processeur : Intel Core 5 210H (up to 4.8 GHz, 12Mo Mémoire Cache, 8 cores) - Système d'exploitation : Windows 11 Pro - Mémoire RAM : 16 Go DDR5 - Disque Dur : 512Go SSD - Carte Graphique : NVIDIA GeForce RTX 3050 (6Go de Mémoire dédiée  GDDR6 ) avec Wi-Fi6, Bluetooth 5.3 - 1x USB 3.2 Gen 1 Type-C, 2x USB 3.2 Gen 1 Type-A, 1x HDMI 2.1 FRL,  1x 3.5mm Combo Audio Jack, 1x DC-in  - système de refroidissement à double ventilateur - Webcam FHD 1080p - Haut-parleur et Microphone réseau intégrés - Clavier chiclet rétroéclairé avec touche numérique - Couleur : Noir - Garantie : 1 an","Les autres produits : Asus","https://spacenet.tn/336694-large_default/pc-portable-gamer-asus-v16-v3607vj-intel-core-5-210h-16go-512go-ssd-rtx-3050-windows-11-pro.jpg"
"1769347841-306","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=21","Pc Portable Lenovo ThinkPad E14 Gen 7 Ultra 5 8Go 512Go SSD","https://spacenet.tn/pc-portables-pro-tunisie/92483-pc-portable-lenovo-thinkpad-e14-gen-7-ultra-5-8go-512go-ssd.html","Pc Portable Lenovo ThinkPad E14 Gen 7 Ultra 5 8Go 512Go SSD","2 739,000 DT","Pc Portable Lenovo ThinkPad E14 - Ecran : 14"" WUXGA (1920 x 1200), IPS, 300 nits antireflet, 60 Hz, 45 % NTSC - Processeur : Intel Core Ultra 5 255U (Up to 4.8 GHz Turbo max, 12 Mo de mémoire cache, 12 Cores) - Système d'exploitation : Free Dos - Mémoire RAM : 8 Go DDR5 - Disque Dur : 512 Go SSD - Carte Graphique : Intel graphique intégré avec Wifi 6E, Bluetooth 5.3, 1x USB-A (Gen1), 1x USB-A (Gen 2), 1x USB-C avec USB PD 3.1 et DisplayPort 2.1, 1x HDMI® 2.1, 1x prise combinée casque/microphone (3,5 mm), 1x RJ-45 - Clavier Rétroéclairé Français - Caméra FHD 1080p + IR avec obturateur de confidentialité - Couleur : Noir - Garantie : 2 ans","Les autres produits : Lenovo","https://spacenet.tn/336222-large_default/pc-portable-lenovo-thinkpad-e14-gen-7-ultra-5-8go-512go-ssd.jpg"
"1769347844-307","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=21","Pc Portable Dell Latitude 3440 i7 13Gén 8Go 512Go SSD","https://spacenet.tn/pc-portables-pro-tunisie/89056-pc-portable-dell-latitude-3440-i7-13gen-8go-512go-ssd.html","Pc Portable Dell Latitude 3440 i7 13Gén 8Go 512Go SSD","2 739,000 DT","Pc Portable Dell Latitude 3440 - Écran : 14"" FHD (1920 x 1080), 45% NTSC, IPS - Processeur : Intel Core i7-1355U (Up To 5.0 GHz, 2Mo Cache, 10 Cœurs, 12T) - Système d'exploitation : Ubuntu - Mémoire RAM : 8 Go DDR4 - Disque Dur : 512 Go SSD - Carte Graphique : Intel Iris Xe avec Wifi 6E, Bluetooth, 1x USB 3.2 Gen 2 Type-C, 2x USB 3.2 Gen 1, 1x USB 3.2 Gen 1, 1x HDMI 1.4, 1x RJ-45 , 1x Jack audio 3.5mm, 1x Port d'alimentation et Lecteur de carte - Haut-parleurs stéréo 4W - Webcam 720p - Clavier Rétroéclairé FR - Couleur : Gris - Garantie : 1 an","Les autres produits : Dell","https://spacenet.tn/280917-large_default/pc-portable-dell-latitude-3440-i7-13gen-8go-512go-ssd.jpg"
"1769347846-308","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=21","PC Portable HP 15-fd1080nk Intel Core 7 32Go 1To SSD","https://spacenet.tn/pc-portable-tunisie/95761-pc-portable-hp-15-fd1080nk-intel-core-7-32go-1to-ssd.html","PC Portable HP 15-fd1080nk Intel Core 7 32Go 1To SSD","2 729,000 DT","PC Portable HP 15-fd1080nk - Écran : 15.6"" FHD (1366 x 768), IPS, micro-bords, antireflet, 250 nits - Processeur : Intel® Core™ 7 150U (Up to 4.5 GHz, 12 Mo de mémoire cache, 10 cores, 12 threads) - Système d'exploitation : Freedos - Mémoire RAM : 32 Go DDR5 - Disque Dur : 1 To SSD - Carte Graphique : Intel Graphique intégré avec Wi-Fi 6 et Bluetooth 5.4, 1x USB Type-C - 2x USB Type-A - 1x HDMI 1.4b - 1x Combinée casque/microphone - Clavier gris clair avec pavé numérique - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Couleur : Argent Naturel - Garantie : 1 an","Les autres produits : Hp","https://spacenet.tn/333332-large_default/pc-portable-hp-15-fd1080nk-intel-core-7-32go-1to-ssd.jpg"
"1769347849-309","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=21","Pc Portable Dell Pro 16 PC16250 Core 5 32Go 512Go SSD","https://spacenet.tn/pc-portables-pro-tunisie/95471-pc-portable-dell-pro-16-pc16250-core-5-32go-512go-ssd.html","Pc Portable Dell Pro 16 PC16250 Core 5 32Go 512Go SSD","2 729,000 DT","Pc Portable Dell Pro 16 PC16250 - Écran : 16"" Full HD+ (1920 x 1200 pixels) antiéblouissement, 300 cd/m², 45 % NTSCt - Processeur : Intel® Core™ 5 120U (Up to 5.0 GHz Turbo max, 12 Mo de mémoire cache, 10 Cœur) - Système d'exploitation : Ubuntu - Mémoire RAM : 32 Go DDR5 - Disque Dur : 512 Go SSD - Carte Graphique : Intel graphique intégrée avec Wi-Fi 6E, Bluetooth 5.3 - 2x ports USB-A 3.2 Gen 1, 1x port USB-C® 3.2 Gen 2, DP, 1x port HDMI 2.1, 1x port Thunderbolt™ 4 1x port universel pour casque, 1x port Ethernet RJ45, 1x 1 port pour adaptateur secteur - Webcam FHD 1080P FHD + IR - Clavier rétroéclairé avec touche Copilot, français (Europe) - Couleur : Silver - Garantie : 1 an","Les autres produits : Dell","https://spacenet.tn/331126-large_default/pc-portable-dell-pro-16-pc16250-core-5-32go-512go-ssd.jpg"
"1769347851-310","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=21","Pc Portable Asus ExpertBook PM3406CKA AI Ryzen 7 16Go 512Go SSD","https://spacenet.tn/pc-portable-asus/94228-pc-portable-asus-expertbook-pm3406cka-ai-ryzen-7-16go-512go-ssd.html","Pc Portable Asus ExpertBook PM3406CKA AI Ryzen 7 16Go 512Go SSD","2 729,000 DT","Pc Portable Asus ExpertBook PM3406CKA  - Écran : WQXGA 14 pouces (2560 x 1600pixels), Antireflet Rétroéclairage LED - Processeur : Ryzen AI 7 350 (jusqu'à 5.0 GHz, 16 Mo de cache, , 8 cœurs, 16threads) - Système d'exploitation : FreeDos - Mémoire RAM : 16Go DDR5 - Disque Dur : 512 Go SSD - Carte Graphique : AMD Radeon 860M avec Wi-Fi 6, Bluetooth 5.4 - 2x USB 3.2 Gen 1 Type-A, 2x USB 3.2 Gen 2 Type-C prise en charge de l'affichage / de l'alimentation, 1x HDMI 2.1 TMDS ,1x prise audio combinée 3,5 mm ,1x RJ45 Gigabit Ethernet - Clavier chiclet rétroéclairé - Caméra FHD 1080p avec fonction IR - Audio par la technologie Dirac - Haut-parleur et Microphone intégrés - Alimentation électrique : adaptateur secteur 90 W - Couleur : Silver - Garantie : 3 ans","Les autres produits : Asus","https://spacenet.tn/320236-large_default/pc-portable-asus-expertbook-pm3406cka-ai-ryzen-7-16go-512go-ssd.jpg"
"1769347854-311","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=21","Pc Portable Dell Pro 14 PC14250 Core 5 32Go 512Go SSD","https://spacenet.tn/pc-portables-pro-tunisie/95464-pc-portable-dell-pro-14-pc14250-core-5-32go-512go-ssd.html","Pc Portable Dell Pro 14 PC14250 Core 5 32Go 512Go SSD","2 729,000 DT","Pc Portable Dell Pro 14 PC14250 - Écran : 14"" Full HD+ (1920 x 1200 pixels) antiéblouissement, 300 cd/m², 45 % NTSCt - Processeur : Intel® Core™ 5 120U (Up to 5.0 GHz Turbo max, 12 Mo de mémoire cache, 10 Cœur) - Système d'exploitation : Ubuntu - Mémoire RAM : 32 Go DDR5 - Disque Dur : 512 Go SSD - Carte Graphique : Intel graphique intégrée avec Wi-Fi 6E, Bluetooth 5.3 - 2x ports USB-A 3.2 Gen 1, 1x port USB-C® 3.2 Gen 2, DP, 1x port HDMI 2.1, 1x port Thunderbolt™ 4 1x port universel pour casque, 1x port Ethernet RJ45, 1x 1 port pour adaptateur secteur - Webcam FHD 1080P FHD + IR - Clavier rétroéclairé avec touche Copilot, français (Europe) - Couleur : Silver - Garantie : 1 an","Les autres produits : Dell","https://spacenet.tn/331053-large_default/pc-portable-dell-pro-14-pc14250-core-5-32go-512go-ssd.jpg"
"1769347859-312","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=21","Pc Portable HP ProBook 450 G10 i5 13Gén 24Go 512Go SSD","https://spacenet.tn/pc-portables-pro-tunisie/91303-pc-portable-hp-probook-450-g10-i5-13gen-24go-512go-ssd.html","Pc Portable HP ProBook 450 G10 i5 13Gén 24Go 512Go SSD","2 699,000 DT","Pc Portable HP ProBook 450 G10 - Écran : 15,6 Full HD (1920 x 1080) IPS, IPS, anti-reflet, 250 nits - Processeur : Intel Core i5-1334U (Up to 4,6 GHz, 12Mo de mémoire cache, 10 Cœurs, 12 threads) - Système d'exploitation : Freedos - Mémoire RAM : 24 Go DDR4 - Disque Dur : 512 Go SSD - Carte Graphique : Intel® Iris® Xᵉ Graphics avec Wifi 6E et Bluetooth 5.3 - 2x USB Type-A, 2x USB Type-C, 1x HDMI 2.1, 1x RJ-45, 1x prise stéréo combinée casque/microphone, 1x prise d’alimentation secteur - Webcam IR 5 MP - 2x Haut-parleurs stéréo - 2 Microphones - Clavier HP Premium, avec pavé numérique, rétroéclairé, étanche - Couleur : Silver - Garantie : 2 ans","Les autres produits : Hp","https://spacenet.tn/298373-large_default/pc-portable-hp-probook-450-g10-i5-13gen-24go-512go-ssd.jpg"
"1769347865-313","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=20","Pc Portable Acer TravelMate P2 i5 11Gén 32Go 512Go SSD Windows 11 Pro","https://spacenet.tn/pc-portable-tunisie/81882-pc-portable-acer-travelmate-p2-i5-11gen-32go-512go-ssd-windows-11-pro.html","Pc Portable Acer TravelMate P2 i5 11Gén 32Go 512Go SSD Windows 11 Pro","2 699,000 DT","Pc Portable Acer TravelMate P2  - Ecran : 15.6"" Full HD - Processeur : Intel Core i5-1135G7 (2.4 GHz Up To 4.2 GHz, 8 Mo Intel® Smart Cache, 4 cœurs)  - Système d'exploitation : Windows 11 Pro - Mémoire RAM : 32 Go DDR4 - Disque Dur : 512 Go SSD - Carte graphique: NVIDIA GeForce MX330 (2 Go de mémoire dédiée) - Wifi 6,  Bluetooth, 1 x RJ-45, VGA, HDMI®, USB 3.2 Gen 1, USB 3.2,USB Type-C TM , Thunderbolt 4,  Lecteur de carte SD,  Prise casque micro  Couleur : Noir - Garantie : 1 an","Les autres produits : Acer","https://spacenet.tn/246960-large_default/pc-portable-acer-travelmate-p2-i5-11gen-32go-512go-ssd-windows-11-pro.jpg"
"1769347867-314","https://spacenet.tn/74-pc-portable-tunisie?srsltid=AfmBOorMB1j-GLpHJvYVRZqiTLgmSGRXpQSxsm6YB4lz85ZNYyBVsydT&page=20","Pc Portable Lenovo Yoga Slim 6 14IAP8 i5 12Gén 8Go 512Go SSD Gris (82WU0068FG)","https://spacenet.tn/pc-portables-pro-tunisie/58574-pc-portable-lenovo-yoga-slim-6-14iap8-i5-12gen-8go-512go-ssd-gris.html","Pc Portable Lenovo Yoga Slim 6 14IAP8 i5 12Gén 8Go 512Go SSD Gris (82WU0068FG)","2 699,000 DT","Ecran : 14"" 2.2K (2240x1400) IPS 300nits antireflet, 100% sRGB, 60Hz, Eyesafe®, Dolby® Vision™ - Processeur : Intel® Core™ i5-1240P ((4P + 8E) / 16T, P-core 1,7 / 4,4 GHz, E-core 1,2 / 3,3 GHz, 12 Mo de mémoire cache, 12C) - Système d'exploitation : Windows® 11 Famille Unilingue, Français - Mémoire RAM : 8 Go - Disque Dur : 512Go SSD - Carte Graphique : Intel® Iris® Xe intégrée, avec Bluetooth 5.1 et wifi - Couleur : Gris - Garantie : 2 ans","Les autres produits : Lenovo","https://spacenet.tn/152209-large_default/pc-portable-lenovo-yoga-slim-6-14iap8-i5-12gen-8go-512go-ssd-gris.jpg"
