web-scraper-order,web-scraper-start-url,link,link-href,name,price,description,image_url-src
"1769332994-97","https://www.tunisianet.com.tn/665-televiseurs?page=3&order=product.price.desc","TV Thomson 65"" 4K UHD Google TV avec Récepteur Intégré + 90DT Bon D'achat","https://www.tunisianet.com.tn/vente-tv-samsung-led-tunisie/89129-tv-thomson-65-4k-uhd-google-tv-avec-recepteur-integre-90dt-bon-d-achat.html","TV Thomson 65"" 4K UHD Google TV avec Récepteur Intégré + 90DT Bon D'achat","2 339,000 DT","TV THOMSON 65"" UHD Google TV - Résolution : 3840 x 2160 Pixels - Taux de rafraîchissement : 60Hz - Systeme d'exploitation : Google TV - Processeur: CA75x2&1.3GHz + CA55x2&1.15GHz - HDR10 - Triple Tuner: DVB-T/T2/C/S/S2 - Profondeur de bits de couleur : 10 bits -  Puissance sonore : 2 x 10W - Dolby Audio - Digital Surround - Connectivité : Wi-Fi (2.4G + 5G), Bluetooth 5.0 - Connecteurs : eARC (HDMI3), 2x HDMI 2.0, 2x HDMI 2.1, 2x USB 2.0, 1x USB 3.0 - 1x RJ45 (Ethernet) - Fixation VESA (non inclus) 200 x 200 - Poids Net : 16.7 kg - Dimensions : 1446 x 290 x 869 (avec support), 1446 x 79 x 834 (sans support) - Couleur : Noir - Garantie 3 ans
+ 90DT Bon D'achat
+ Livraison + Installation et Mise en Marche Gratuites
*(Installation sur pieds seulement, Fixation sur support mural non incluse)","https://www.tunisianet.com.tn/454457-large/tv-thomson-65-4k-uhd-google-tv-avec-recepteur-integre-90dt-bon-d-achat.jpg"
"1769332997-98","https://www.tunisianet.com.tn/665-televiseurs?page=3&order=product.price.desc","Téléviseur TCL 65'' LED 4K UHD Smart TV P755","https://www.tunisianet.com.tn/tv-son-photos/78489-televiseur-tcl-65-led-4k-uhd-smart-tv-p755.html","Téléviseur TCL 65'' LED 4K UHD Smart TV P755","2 399,000 DT","Téléviseur TCL 65"" UHD 4K - Résolution : 3840 x 2160 Pixels - Système d'exploitation : GOOGLE TV - Taux de rafraîchissement : MEMC(60Hz),120Hz VRR,DLG 120Hz - Ratio d'aspect : 16:9 - Luminosité du système (cd/m2) : 350 lentes (typ) - RAPPORT DE CONTRASTE : 6000:1 - Puissance Audio : 10W x2 - DOLBY ATMOS - HDR 10+ - DOLBY VISION - DTS VIRTUEL X - Miracast (Affichage Sans Fil) - Game Master - Vidéo Chat - Canal Sonore : 2.0 Canal - VESA Montage mural : 400x300mm - Connectivité : Bluetooth 5.0, Wi-Fi 5 - Connecteurs : 3xHDMI, USB2.0 - Poids Net : 16.5 Kg - Dimensions (LxHxP) : 1444 x 893 x 320mm - Couleur : Noir - Garantie 2ans 
+ Livraison + Installation et Mise en Marche Gratuites","https://www.tunisianet.com.tn/389300-large/televiseur-tcl-65-led-4k-uhd-smart-tv-p755.jpg"
"1769333000-99","https://www.tunisianet.com.tn/665-televiseurs?page=3&order=product.price.desc","TV TCL P635 65"" LED UHD 4K / Smart TV / Google TV / Android / Noir","https://www.tunisianet.com.tn/vente-tv-samsung-led-tunisie/62533-tv-tcl-p635-65-led-uhd-4k-smart-tv-google-tv-noir.html","TV TCL P635 65"" LED UHD 4K / Smart TV / Google TV / Android / Noir","2 399,000 DT","Téléviseur TCL UHD 4K 65"" - Résolution : 3840 X 2160 Pixels - Taux de Rafraîchissement : 60Hz - Système d'exploitation : Google TV - Auto Low Latency Mode ( ALLM) - Haut parleur : 2x 10 W - Dolby Audio - HDR10 - Wifi - Bluetooth 5.0 - USB 2.0 - HDMI 2.1 - Dimensions : 1445 x 888 x 352 mm - Poids: 14.3 Kg - Garantie 2 ans
+ Livraison + Installation et Mise en Marche Gratuites
 
*(Installation sur pieds seulement, Fixation sur support mural non incluse)","https://www.tunisianet.com.tn/291814-large/tv-tcl-p635-65-led-uhd-4k-smart-tv-google-tv-noir.jpg"
"1769333003-100","https://www.tunisianet.com.tn/665-televiseurs?page=3&order=product.price.desc","Téléviseur LG 55'' 4K UHD NANOCELL SMART TV / 55NANO80T6A","https://www.tunisianet.com.tn/televiseurs/84326-televiseur-lg-55-4k-uhd-nanocell-smart-tv-55nano80t6a.html","Téléviseur LG 55'' 4K UHD NANOCELL SMART TV / 55NANO80T6A","2 399,000 DT","Téléviseur LG 55'' 4K UHD NANOCELL SMART TV - Récepteur intégré - Résolution : 3840 x 2160 Pixels UHD - Taux de rafraichissement : 60Hz - Processeur d'image : α5 AI Processor 4K Gen7 - HDR : HDR10 Pro - AI Sound : AI Sound Pro (Virtual 9.1.2 Up-mix) - FILMMAKER MODE - Large gamme de couleurs : Nano Color - Game Optimizer : Game Dashboard - LG Sound Sync - Clear Voice Pro : Auto Volume Leveling - Système de haut-parleurs : 2.0 canaux - Sortie audio : 20 W - Connectivité : Wi-Fi 5, Bluetooth V5.0 - Connecteurs : 3x HDMI, 2x USB, 2x Entrée RF, 1x Sortie Audio, 1x RJ45 - Poids Net : 14Kg - Dimensions (LxHxP) : 1235 x 780 x 230mm (avec support), 1235 x 715 x 57.5mm (sans support) - Garantie 2ans *(Installation sur pieds seulement, Fixation sur support mural non incluse)","https://www.tunisianet.com.tn/420006-large/televiseur-lg-55-4k-uhd-nanocell-smart-tv-55nano80t6a.jpg"
"1769333005-101","https://www.tunisianet.com.tn/665-televiseurs?page=3&order=product.price.desc","TV Thomson 65"" 4K UHD QLED Side Feet - Google TV avec Récepteur Intégré","https://www.tunisianet.com.tn/vente-tv-samsung-led-tunisie/86023-tv-thomson-65-4k-uhd-qled-side-feet-google-tv-avec-recepteur-integre.html","TV Thomson 65"" 4K UHD QLED Side Feet - Google TV avec Récepteur Intégré","2 429,000 DT","TV 65"" QLED Google TV - Résolution : 4K UHD 3840 x 2160 Pixels - Taux de rafraîchissement : 60Hz - Systeme d'exploitation : Google TV - Processeur: CA75x2&1.3GHz + CA55x2&1.15GHz - HDR10 - Triple Tuner: DVB-T/T2/C/S/S2 - Profondeur de bits de couleur : 10 bits -  Puissance sonore : 2 x 10W - Dolby Audio - Digital Surround - Connectivité : Wi-Fi (2.4G + 5G), Bluetooth 5.0 - Connecteurs : eARC (HDMI3), 2x HDMI 2.0, 2x HDMI 2.1, 2x USB 2.0, 1x USB 3.0 - 1x RJ45 (Ethernet) - Fixation VESA (non inclus) 200 x 200 - Poids sans Pieds: 16.7 kg - Dimensions avec Pieds (LxPxH) : 1446 x 290 x 869 mm - Couleur : Noir - Garantie 3 ans

+ Livraison + Installation et Mise en Marche Gratuites
*(Installation sur pieds seulement, Fixation sur support mural non incluse)","https://www.tunisianet.com.tn/429510-large/tv-thomson-65-4k-uhd-qled-side-feet-google-tv-avec-recepteur-integre.jpg"
"1769333008-102","https://www.tunisianet.com.tn/665-televiseurs?page=3&order=product.price.desc","TV Thomson Google TV 55"" QLED Pro 144 Hz avec Récepteur Intégré + 250DT Bon D'achat","https://www.tunisianet.com.tn/vente-tv-samsung-led-tunisie/86041-tv-thomson-google-tv-55-qled-pro-144-hz-avec-recepteur-integre-250dt-bon-d-achat.html","TV Thomson Google TV 55"" QLED Pro 144 Hz avec Récepteur Intégré + 250DT Bon D'achat","2 449,000 DT","TV 55"" QLED Pro 4K - Résolution : 3840 x 2160 px (4K UHD) - avec récepteur intégré - Taux de rafraîchissement : 144Hz - HDR10 - Systeme d'exploitation : Google TV - Profondeur de bits de couleur : 10 bits  - Chromecast intégré - - Puissance sonore : 2x 10W - Dolby Audio Atmos - Digital Surround - Ecran sans bordure sur 3 cotés - Connectivité : Wi-Fi, Bluetooth - Connecteurs : - 4 xHDMI (2 x HDMI 2.1, 2 x HDMI 2.0) - 3x USB (2 x USB 2.0, 1 x USB 3.0) - 1x Port eARC (HDMI3) - Prise Casque - 1x Port Optique - Ethernet (RJ-45) - Fixation VESA (non inclus) 200 x 200 - Poids : 14,73 kg - Dimensions avec support : 1227 x 281 x 744 mm - Garantie 3 ans
+ 250DT Bon D'achat
+ Livraison + Installation et Mise en Marche Gratuites
*(Installation sur pieds seulement, Fixation sur support mural non incluse)","https://www.tunisianet.com.tn/454458-large/tv-thomson-google-tv-55-qled-pro-144-hz-avec-recepteur-integre-250dt-bon-d-achat.jpg"
"1769333010-103","https://www.tunisianet.com.tn/665-televiseurs?page=3&order=product.price.desc","TV HISENSE 65"" SMART UHD 4K AVEC TV HISENSE 32"" HD OFFERT","https://www.tunisianet.com.tn/televiseurs/91933-tv-hisense-65-smart-uhd-4k-avec-tv-hisense-32-hd-offert.html","TV HISENSE 65"" SMART UHD 4K AVEC TV HISENSE 32"" HD OFFERT","2 499,000 DT","TV HISENSE 65"" SMART - Résolution : 3840 x 2160 Pixels 4K Ultra HD Premium - Système d'exploitation : VIDAA U 7.6 - Processeur : Quad Core - Technologie d'affichage : Direct LED - Fréquence dalle - 50 Hz/60 Hz - Luminosité : 300 nits - Dalle anti-reflet - Upscaling Ultra HD : 4K - Puissance des haut-parleurs : 2x10W - Magasin d'applications (Netflix, Youtube, Prime Video…) - Assistant Vocal Alexa, Vidaa Voice - Télécommande vocale - Navigateur Internet - Partage d’écran (PC, Tablette, Mobile) - Connectivité : Wi-Fi, Bluetooth - Connecteurs : 3x HDMI, 2x USB, 1x S/PDIF, 1x AV, 2x Prises Antennes, 1x Prise Casque, 1x RJ45 - Garantie 2ans 
+ Livraison + Installation et Mise en Marche Gratuites
+ TV HISENSE 32"" HD OFFERT (G-32A5200F)*(Installation sur pieds seulement, Fixation sur support mural non incluse)","https://www.tunisianet.com.tn/460144-large/tv-hisense-65-smart-uhd-4k-avec-tv-hisense-32-hd-offert.jpg"
"1769333013-104","https://www.tunisianet.com.tn/665-televiseurs?page=3&order=product.price.desc","TV LG 55"" UHD 4K NanoCell / Smart Tv / WiFi","https://www.tunisianet.com.tn/vente-tv-samsung-led-tunisie/72077-tv-lg-55-uhd-4k-nanocell-smart-tv-wifi-un-pouff-offert.html","TV LG 55"" UHD 4K NanoCell / Smart Tv / WiFi","2 559,000 DT","Tv 55"" UHD 4K NanoCell - Résolution : 4K Ultra HD 3840 x 2160 - Taux de rafraîchissement 50 Hz - Processeur α5 Gen6 AI 4K - Smart Tv - Alimentation AC 100~240V 50-60Hz - HDR 10 - Optimiseur de jeu vidéo - Système d’exploitation Smart TV équipé de webOS - Puissance Audio 20W (2 x 10 Watt) - Technologies  AI Sound Pro - Bluetooth 5.0 - WiFi 5 - HDMI - 2x USB 2.0 - Sortie audio numérique - Garantie 2 ans 
+ Livraison + Installation et Mise en Marche Gratuites
 
 
*(Installation sur pieds seulement, Fixation sur support mural non incluse)","https://www.tunisianet.com.tn/444441-large/tv-lg-55-uhd-4k-nanocell-smart-tv-wifi-un-pouff-offert.jpg"
"1769333017-105","https://www.tunisianet.com.tn/665-televiseurs?page=3&order=product.price.desc","Téléviseur SAMSUNG 55DU8000 UHD 4K SMART TV (UA55DU8000)","https://www.tunisianet.com.tn/tv-son-photos/78576-televiseur-samsung-55du8000-uhd-4k-smart-tv-ua55du8000-abonnement-shahid-6-mois-offert-abonnement-12-mois-offert.html","Téléviseur SAMSUNG 55DU8000 UHD 4K SMART TV (UA55DU8000)","2 599,000 DT","Téléviseur SAMSUNG 55"" LED UHD 4K - Résolution : 3,840 x 2,160 Pixels - Taux de rafraichissement : 50Hz - Système d'exploitation : Tizen Smart TV - Crystal Processor 4K - Mega Contraste - HDR 10+ - Mode Jeu Auto - Puissance Sonore : 20W x2 - Motion Technologie : Mouvement Xcelerator - Navigateur Web - SmartThings - Connectivité : Wi-Fi 5, Bluetooth 5.2 - Connecteurs : 3x HDMI - 2x USB A - 1x Entrée RF - 1x RJ45 - Poids : 15,80 kg - Dimensions : (LxHxP) : 1232,1 x 748,8 x 226,3 mm - Couleur Noir - Garantie 2 ans 
+ Livraison + Installation et Mise en Marche Gratuites","https://www.tunisianet.com.tn/390146-large/televiseur-samsung-55du8000-uhd-4k-smart-tv-ua55du8000-abonnement-shahid-6-mois-offert-abonnement-12-mois-offert.jpg"
"1769333022-106","https://www.tunisianet.com.tn/665-televiseurs?page=2&order=product.price.desc","TV TCL P7K 65"" QLED UHD 4K SMART TV / GOOGLE TV","https://www.tunisianet.com.tn/televiseurs/90674-tv-tcl-p7k-65-qled-uhd-4k-smart-tv-google-tv.html","TV TCL P7K 65"" QLED UHD 4K SMART TV / GOOGLE TV","2 599,000 DT","TV TCL 65"" P7K QLED UHD 4K - Résolution : 3840 × 2160 Pixels - Système d'Exploitation : Google TV - HDR10+ - Dolby Vision /Atmos - Son DTS Premuim : DTS Virtuel X - Luminosité du système : 350 nits (typ) - Rapport de Contraste : 6000:1 - Aspect Ratio : 16:9 - Processeur AiPQ - Taux de rafraîchissement : 60 Hz - Puissance Audio : 2 x 10 W - Assitant Google intégré - Commande vocale mains libres - YouTube - Netflix - Assistant Google - Google Play Store - Dimensions (LxHxP) : 1444 x 894 x 327 mm (avec support) - Connecteurs : 3x HDMI 2.1, 1x USB - Montage mural VESA : 400 x 300 mm - Connectivité : Bluetooth 5, Wifi 5 - Couleur : Noir - Garantie 2ans
+ Livraison + Installation et Mise en Marche Gratuite*(Installation sur pieds seulement, Fixation sur support mural non incluse)","https://www.tunisianet.com.tn/453530-large/tv-tcl-p7k-65-qled-uhd-4k-smart-tv-google-tv.jpg"
