web-scraper-order,web-scraper-start-url,category_women,category_women-href,category_men,category_men-href,category_kids,category_kids-href,product,product-href,name,price,description,image_url-src,product_men,product_men-href,name_men,price_men,description_men,image_url_men-src,product_women,product_women-href,name_women,price_women,description_women,image_url_women-src
"1769175999-1","https://www.lefties.com/tn/","","","","","View Baby Boy","https://www.lefties.com/tn/kids/baby-boy/new-in-c1030662599.html","2-PIECE SET","https://www.lefties.com/tn/kids/baby-boy/new-in/cars-plush-sweatshirt-and-trousers-co-ord-c1030662599p720269769.html?colorId=805&style=01&parentId=732133966","Cars plush sweatshirt and trousers co-ord","49.90 TND","Two-piece set composed of a sweatshirt and trousers. The sweatshirt has a round neck with ribbed elastic finishes on the neck, sleeves, and hem, and different car-themed prints. The trousers have an elastic waistband and cuffs on the hem. The set is made of stretchy cotton fabric with an inner brushed","https://static.lefties.com/assets/public/e8a5/10f0/30cc42db8014/e332af35945b/01045802805-01-A8/01045802805-01-A8.jpg?ts=1767959627330&w=400&f=auto","","","","","","","","","","","",""
"1769176003-2","https://www.lefties.com/tn/","","","","","View Baby Boy","https://www.lefties.com/tn/kids/baby-boy/new-in-c1030662599.html","2-PIECE SET","https://www.lefties.com/tn/kids/baby-boy/new-in/cars-plush-sweatshirt-and-trousers-co-ord-c1030662599p720269769.html?colorId=805&style=03&parentId=735006452","Cars plush sweatshirt and trousers co-ord","49.90 TND","Two-piece set composed of a sweatshirt and trousers. The sweatshirt has a round neck with ribbed elastic finishes on the neck, sleeves, and hem, and different car-themed prints. The trousers have an elastic waistband and cuffs on the hem. The set is made of stretchy cotton fabric with an inner brushed","https://static.lefties.com/assets/public/0835/6c3b/21a1443192ed/ada7cbe87f5a/01045802805-03-A8/01045802805-03-A8.jpg?ts=1768232080264&w=400&f=auto","","","","","","","","","","","",""
"1769176006-3","https://www.lefties.com/tn/","","","","","View Baby Boy","https://www.lefties.com/tn/kids/baby-boy/new-in-c1030662599.html","","https://www.lefties.com/tn/kids/baby-boy/new-in/lightweight-hooded-puffer-jacket-c1030662599p730019114.html?colorId=710&parentId=730022552","Lightweight hooded puffer jacket","69.90 TND","Lightweight puffer jacket with a hood. Matching elasticated trims on the cuffs, hood and hem. Central zip fastening with a chin guard.","https://static.lefties.com/assets/public/ca1d/2800/99094bfc9c9a/2c03f8a025f2/05814800710-A6/05814800710-A6.jpg?ts=1751620678898&w=400&f=auto","","","","","","","","","","","",""
"1769176008-4","https://www.lefties.com/tn/","","","","","View Baby Boy","https://www.lefties.com/tn/kids/baby-boy/new-in-c1030662599.html","","https://www.lefties.com/tn/kids/baby-boy/new-in/quilted-jacket-with-hood-c1030662599p720284055.html?colorId=420&parentId=720286142","Quilted jacket with hood","69.90 TND","Quilted jacket with hood. It features a matching elastic rubber finish on the cuffs, hood, and hem of the garment, as well as a central zipper closure with a chin guard finish.","https://static.lefties.com/assets/public/45a1/1936/ba544e688b8b/6c6288e32711/01810800420-A3/01810800420-A3.jpg?ts=1765870627561&w=400&f=auto","","","","","","","","","","","",""
"1769176011-5","https://www.lefties.com/tn/","","","","","View Baby Boy","https://www.lefties.com/tn/kids/baby-boy/new-in-c1030662599.html","","https://www.lefties.com/tn/kids/baby-boy/new-in/retro-barefoot-sneaker-c1030662599p720274801.html?colorId=009&style=01&parentId=732134042","Retro Barefoot Sneaker","89.90 TND","Sneaker-style shoe for babies. Available in various colors.

MORE SPACE FOR TOE FREE MOVEMENT
Wide and rounded last with more space for free toe movement.","https://static.lefties.com/assets/public/3484/4b37/daec4ce2a305/c20573e73e63/1300079000901-A7/1300079000901-A7.jpg?ts=1768219112535&w=400&f=auto","","","","","","","","","","","",""
"1769176013-6","https://www.lefties.com/tn/","","","","","View Baby Boy","https://www.lefties.com/tn/kids/baby-boy/new-in-c1030662599.html","","https://www.lefties.com/tn/kids/baby-boy/new-in/slim-comfort-fit-jeans-c1030662599p720245261.html?colorId=428&parentId=720254005","Slim comfort fit jeans","49.90 TND","Mid-rise jeans with a five-pocket design and zip fly and metal top button fastening. Slightly straight fit. Made of a comfortable stretch fabric.","https://static.lefties.com/assets/public/a6c1/5d49/88f7479e831e/7f90c567d572/01400800428-A3/01400800428-A3.jpg?ts=1763712000541&w=400&f=auto","","","","","","","","","","","",""
"1769176015-7","https://www.lefties.com/tn/","","","","","View Baby Boy","https://www.lefties.com/tn/kids/baby-boy/new-in-c1030662599.html","","https://www.lefties.com/tn/kids/baby-boy/new-in/retro-barefoot-sneaker-c1030662599p720274801.html?colorId=131&parentId=720281317","Retro Barefoot Sneaker","89.90 TND","Sneaker-style shoe for babies. Available in various colors.

MORE SPACE FOR TOE FREE MOVEMENT
Wide and rounded last with more space for free toe movement.","https://static.lefties.com/assets/public/efcc/b166/0214466aaa33/7c010c3e1bfd/13000790131-A1/13000790131-A1.jpg?ts=1759144130715&w=400&f=auto","","","","","","","","","","","",""
"1769176018-8","https://www.lefties.com/tn/","","","","","View Baby Boy","https://www.lefties.com/tn/kids/baby-boy/new-in-c1030662599.html","","https://www.lefties.com/tn/kids/baby-boy/new-in/retro-barefoot-sneaker-c1030662599p720274801.html?colorId=009&parentId=720281315","Retro Barefoot Sneaker","89.90 TND","Sneaker-style shoe for babies. Available in various colors.

MORE SPACE FOR TOE FREE MOVEMENT
Wide and rounded last with more space for free toe movement.","https://static.lefties.com/assets/public/4d67/64a2/cb7948b4b150/d8681e3b8630/13000790009-A1/13000790009-A1.jpg?ts=1762865770358&w=400&f=auto","","","","","","","","","","","",""
"1769176020-9","https://www.lefties.com/tn/","","","","","View Baby Boy","https://www.lefties.com/tn/kids/baby-boy/new-in-c1030662599.html","7-PACK","https://www.lefties.com/tn/kids/baby-boy/new-in/colour-block-long-socks-%28pack-7%29-c1030662599p720266272.html?colorId=063&parentId=720273288","Colour block long socks (Pack 7)","29.90 TND","Pack of 7 pairs of long socks with contrasting colour detail on heels and pointed toes.","https://static.lefties.com/assets/public/4324/2a3a/a67c4cd796d0/f4fc02a1e4eb/01260806063-A3/01260806063-A3.jpg?ts=1765524938782&w=400&f=auto","","","","","","","","","","","",""
"1769176023-10","https://www.lefties.com/tn/","","","","","View Baby Boy","https://www.lefties.com/tn/kids/baby-boy/new-in-c1030662599.html","","https://www.lefties.com/tn/kids/baby-boy/new-in/retro-barefoot-sneaker-c1030662599p720274801.html?colorId=116&style=02&parentId=732134020","Retro Barefoot Sneaker","89.90 TND","Sneaker-style shoe for babies. Available in various colors.

MORE SPACE FOR TOE FREE MOVEMENT
Wide and rounded last with more space for free toe movement.","https://static.lefties.com/assets/public/0b2d/f719/b7a34187ad85/3a7547f39557/1300079011602-A7/1300079011602-A7.jpg?ts=1768208037756&w=400&f=auto","","","","","","","","","","","",""
"1769176025-11","https://www.lefties.com/tn/","","","","","View Baby Boy","https://www.lefties.com/tn/kids/baby-boy/new-in-c1030662599.html","","https://www.lefties.com/tn/kids/baby-boy/new-in/minimalist-athletic-shoe-c1030662599p720479965.html?colorId=001&style=03&parentId=735006471","Minimalist athletic shoe","55.90 TND","Athletic shoe for babies. Contrast detail on the cut. Adjustable adhesive straps for a better hold.","https://static.lefties.com/assets/public/ad4d/9d7d/4d484ede8c5f/75c735f3964a/1305379000103-A7/1305379000103-A7.jpg?ts=1768219138703&w=400&f=auto","","","","","","","","","","","",""
"1769176027-12","https://www.lefties.com/tn/","","","","","View Baby Boy","https://www.lefties.com/tn/kids/baby-boy/new-in-c1030662599.html","","https://www.lefties.com/tn/kids/baby-boy/new-in/retro-barefoot-sneaker-c1030662599p720274801.html?colorId=116&parentId=720281314","Retro Barefoot Sneaker","89.90 TND","Sneaker-style shoe for babies. Available in various colors.

MORE SPACE FOR TOE FREE MOVEMENT
Wide and rounded last with more space for free toe movement.","https://static.lefties.com/assets/public/83e7/a9a4/dbdc4a21a776/699e3c90bc8c/13000790116-A1/13000790116-A1.jpg?ts=1759142716198&w=400&f=auto","","","","","","","","","","","",""
"1769176030-13","https://www.lefties.com/tn/","","","","","View Baby Boy","https://www.lefties.com/tn/kids/baby-boy/new-in-c1030662599.html","","https://www.lefties.com/tn/kids/baby-boy/new-in/slim-comfort-fit-jeans-c1030662599p720245261.html?colorId=704&parentId=720254007","Slim comfort fit jeans","49.90 TND","Mid-rise jeans with a five-pocket design and zip fly and metal top button fastening. Slightly straight fit. Made of a comfortable stretch fabric.","https://static.lefties.com/assets/public/e7fa/40b1/0f6d4c3b933f/430e5c34a4bf/01400810704-A3/01400810704-A3.jpg?ts=1765784147114&w=400&f=auto","","","","","","","","","","","",""
